what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494455090637
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.cleanAction",1494455090668
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.garbagecollector",1494455093083
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494455100105
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494455144519
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.properties",1494455144559
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1494455155647
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1494455173080
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1494455181959
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1494455182110
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494455189383
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494455321268
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1494455330161
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1494455339023
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1494455348872
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1494455352323
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1494455357778
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1494455358046
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1494455361219
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494455361350
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494455368052
opened,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1494455368437
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1494455369086
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1494455393341
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494455442854
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494455446256
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.cleanAction",1494455446287
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1494455450699
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1494455456907
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1494455465602
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1494455465843
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1494455485274
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1494455496032
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494455516083
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494455517468
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494455544663
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494455546032
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494455546733
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494455585533
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1494455590040
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1494455590341
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1494455593042
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1494455593397
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1494455593397
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1494455597582
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494455602410
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494455606165
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1494455610675
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494455613158
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494455615160
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1494455622126
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1494455650699
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494455658722
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494455661178
